iter	Passed	Remaining
0	1	185
1	3	173
2	5	177
3	7	173
4	8	170
5	10	169
6	12	167
7	14	163
8	15	160
9	17	155
10	18	152
11	20	152
12	22	150
13	24	148
14	25	145
15	27	143
16	28	140
17	30	137
18	31	135
19	33	132
20	34	130
21	36	129
22	38	128
23	39	124
24	40	120
25	40	116
26	41	112
27	42	109
28	43	105
29	43	102
30	44	99
31	45	96
32	45	93
33	46	90
34	47	88
35	48	85
36	48	83
37	49	80
38	50	78
39	51	76
40	52	75
41	52	72
42	53	71
43	54	69
44	55	67
45	55	65
46	56	63
47	57	61
48	57	60
49	58	58
50	59	57
51	60	55
52	60	54
53	61	52
54	62	50
55	62	49
56	63	47
57	64	46
58	64	45
59	65	43
60	66	42
61	67	41
62	68	39
63	68	38
64	69	37
65	70	36
66	70	34
67	71	33
68	72	32
69	72	31
70	73	29
71	74	28
72	74	27
73	75	26
74	75	25
75	76	24
76	77	23
77	77	21
78	78	20
79	79	19
80	79	18
81	80	17
82	81	16
83	81	15
84	82	14
85	83	13
86	83	12
87	84	11
88	85	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	90	2
97	90	1
98	91	0
99	91	0
